file,matched_bigrams,sentence
CVX_2024Q4.txt,['carbon intensity'],they be look for reliable and fast solution to deliver this power and eventually low carbon option to reduce carbon intensity
CVX_2024Q4.txt,['series energy'],there be be in the u.s. now a series of energy relate executive order over the past week
CVX_2024Q4.txt,"['new energy', 'energy opportunity']",i be wonder if you could talk through how this might impact some of your oil and gas operation especially give the large presence you have in the gulf and then new energy opportunity and we think through the flurry of news flow over the last year
CVX_2024Q4.txt,['protect environment'],we be focused on keep our people safe ensure that asset operate in a way that protect the environment and comply with all the law
CVX_2024Q4.txt,['power initiative'],lastly regard your ai gas fire power initiative what area be you scale back capex on that may now seem less favorable base on current guidance
CVX_2024Q4.txt,['provide energy'],previous capital expenditure do not yield similar growth so we be improve our capital efficiency and continuously seek way to provide energy with low capital investment
DUK_2024Q1.txt,['utility solar'],"in florida we be on track to have 1,500 megawatt of utility own solar in service by year end"
DUK_2024Q1.txt,['class natural'],in the carolinas we file certificate of public convenience and necessity in march to build more than 2 gigawatt of new advanced class of natural gas generation
DUK_2024Q1.txt,['exist coal'],each of these new facility will be sit in exist coal plant and will provide need dispatchable generation when those unit retire
DUK_2024Q1.txt,['nation energy'],we believe natural gas must be a part of not just duke 's but our nation 's energy transition strategy
DUK_2024Q1.txt,"['affordable energy', 'renewable energy']",in the face of unprecedented demand from ai datum center chip manufacturer and other economic development natural gas remain an essential tool to provide reliable and affordable energy for customer and complement our substantial investment in renewable and energy storage
DUK_2024Q1.txt,['epa recently'],as you know the epa recently release rule that place limit on certain baseload generation source
DUK_2024Q1.txt,['solar battery'],the filing also cover investment to add new solar and battery as well as improve the efficiency of our current generation asset
DUK_2024Q1.txt,['resiliency security'],since our last case we have invest more than $ 1.6 billion to support the state 's grow population and increase the resiliency and security of the grid
DUK_2024Q1.txt,"['investment comply', 'reliable natural']",the request cover significant infrastructure investment to comply with federal safety regulation enhance the customer experience and provide safe reliable natural gas service
DUK_2024Q1.txt,['pass natural'],as part of the filing piedmont be also request concurrent rate reduction for pass through natural gas cost which will help mitigate the impact to the customer bill
DUK_2024Q1.txt,['support load'],and we feel like update load without update the capex to support the load might be a bit disconnected and not the full picture
DUK_2024Q1.txt,['integrate resource'],could you elaborate on how you be think about the new epa rule and how that might impact some of your integrate resource plan particularly the long term resource plan that be currently in progress
DUK_2024Q1.txt,"['affordable reliable', 'need carbon']",we be still focused on make sure that we have an affordable and reliable plan for the customer in north carolina while meet our need for our carbon reduction
DUK_2024Q1.txt,"['solar battery', 'particularly solar']",it be add additional resource particularly solar and battery and new gas as well
DUK_2024Q1.txt,"['include renewable', 'renewable battery']",and it include renewable and battery and energy efficiency demand response the entire collection of resource necessary to meet load
DUK_2024Q1.txt,['grid new'],as you consider your capital plan regard investment and the grid as well as new generation have you notice any supply chain constraint in procure generation kit or transmission equipment that we should be aware of
DUK_2024Q1.txt,['turbine manufacturer'],as we look to build generation at scale we be look at area like epc contractor turbine manufacturer and other component to support the generation build
DUK_2024Q2.txt,['wind bring'],along with tropical storm force wind the system be bring heavy rain
DUK_2024Q2.txt,"['focus grid', 'grid generation']",we have clear growth visibility drive by our $ 73 billion capital plan which be focus on grid and generation investment to support the grow community we serve
DUK_2024Q2.txt,"['affordable reliable', 'clean energy']",the outcome support essential critical infrastructure investment acknowledge the rise cost of capital through high roe and allow we to meet our customer demand for affordable reliable and increasingly clean energy now and into the future
DUK_2024Q2.txt,['clean energy'],our plan call for a diverse and increasingly clean energy mix that serve our grow customer base while preserve reliability and affordability
DUK_2024Q2.txt,"['include renewable', 'renewable natural']",importantly the settlement adopt our near term action plan include renewable and natural gas investment as well as early development activity for long lead time resource
DUK_2024Q2.txt,['exist coal'],these advanced class unit will be locate at exist coal plant slat for retirement ensure continued reliability in complement our significant investment in renewable
DUK_2024Q2.txt,"['clean energy', 'megawatt clean']",look ahead we plan to build 12 solar plant between 2025 and 2027 add another 900 megawatt of clean energy to the florida grid
DUK_2024Q2.txt,['affordable energy'],before i turn it over to brian i want to commend all our teammate for their unwavering focus on operational excellence ensure reliable and affordable energy to our customer every day
DUK_2024Q2.txt,['power florida'],as lynn mention many of our teammate be actively work to restore power to our florida customer impact by hurricane debby
DUK_2024Q2.txt,"['clean energy', 'invest clean']",to that end we recently execute mous with google microsoft nucor and amazon to explore tailor solution to meet large scale energy need and develop rate structure to lower the long term cost of invest in clean energy technology
DUK_2024Q2.txt,"['meet sustainability', 'sustainability goal']",we be try to meet their sustainability goal and we be try to do so in a way that protect retail customer while meet their timeline
DUK_2024Q2.txt,['clean energy'],i be pleased to share that the mou have ampe up the constructiveness of our discussion with these customer and bring a lot of excitement on their end for these clean energy piece
DUK_2024Q2.txt,['clean energy'],i would just add julien the mou have really ampe up the constructiveness of our discussion with these customer and there be a lot of excitement on their end for these clean energy piece
DUK_2024Q2.txt,['clean energy'],and the idea here be select either some kind of smr offtake or some kind of clean energy offtake that would specifically not impact the customer just when you think about what the mou comprise
DUK_2024Q2.txt,['carbon free'],they have an interest obviously in carbon free generation and nuclear represent an around the clock option
DUK_2024Q2.txt,"['clean energy', 'bring clean', 'energy state']",they have be very positive about the fact that we be explore these discussion as it be a win win for economic development and bring clean energy to the state while protect retail customer
DUK_2024Q2.txt,['clean energy'],jeremy no matter what happen in november our objective be the same which be to keep serve our customer well with reliable affordable and increasingly clean energy
DUK_2024Q2.txt,['provide energy'],the commission be very engaged in provide this energy transition affordably and reliably to our customer which align to what we be do
DUK_2024Q2.txt,['energy economic'],so it be a partnership between duke energy and the economic development engine of each state and there be a lot of understanding on the part of the state of what be come
DUK_2024Q2.txt,['state meet'],as harry indicate we believe the plan that we have put forward in both state meet the requirement of the objective that both state have set out
DUK_2024Q2.txt,['expansion nuclear'],we will work through this in a thoughtful way but i do believe that continue expansion of nuclear here in the carolinas could make sense as we get into the 2030 and beyond
DUK_2024Q3.txt,['wind heavy'],"the system then make its way north through our carolina service territory bring high wind heavy rain and cause outage for 700,000 customer"
DUK_2024Q3.txt,['modernize grid'],last year alone we invest more than $ 4 billion to harden and modernize the grid
DUK_2024Q3.txt,['coastal area'],this include target undergrounding pole upgrade to steel and concrete in coastal area and self heal technology
DUK_2024Q3.txt,['asset grid'],go forward we will continue to invest in these critical infrastructure asset with grid investment account for half of our five year $ 73 billion capital plan
DUK_2024Q3.txt,"['asset renewable', 'renewable battery', 'generation resource']",plan for natural gas asset renewable and battery storage also add diversity to our generation resource in the state
DUK_2024Q3.txt,"['grid solar', 'solar battery']",the three year multi year rate plan allow for timely recovery of grid solar and battery investment
DUK_2024Q3.txt,['reliable natural'],investment will focus on federal safety regulation enhance the customer experience and provide safe reliable natural gas service
DUK_2024Q3.txt,"['affordable reliable', 'clean energy']",these outcome support essential critical infrastructure investment acknowledge the rise cost of capital through high roe and allow we to meet our customer demand for affordable reliable and increasingly clean energy now and into the future
DUK_2024Q3.txt,['extreme weather'],additionally as with any extreme weather period third quarter weather normal volume likely reflect some impact from the major storm
DUK_2024Q3.txt,"['energy carbon', 'carbon free']",we be talk to many customer and they be very serious about see data center in the carolinas specifically because over half our energy be carbon free nuclear
DUK_2024Q3.txt,['renewable addition'],maybe specifically regard coal plant retirement or renewable addition
DUK_2024Q3.txt,"['affordable reliable', 'deliver affordable']",i want to extend congratulation to president trump on his work and look forward to work with his administration on our task of deliver affordable reliable power
DUK_2024Q3.txt,['role utility'],the governor understand the important role utility play in investing in infrastructure and drive growth
DUK_2024Q3.txt,"['affordable reliable', 'deliver affordable', 'reliable energy']",our conviction around deliver affordable and reliable energy resonate in our state and at the federal level
DUK_2024Q3.txt,['file irp'],we file our irp last week in indiana
DUK_2024Q3.txt,['plan irp'],we will file the cpcn at the cayuga plant at the beginning of next year and expect to move forward with the plan in the irp as we progress into next year
DUK_2024Q3.txt,['file resource'],when in 2025 do you expect to file that resource plan and how should we think about the size of it
DUK_2024Q4.txt,['integrate resource'],this capital represent infrastructure spending drive by grow jurisdiction and underpin by robust regulatory process such as integrate resource plan and approve grid investment
DUK_2024Q4.txt,['energy enter'],duke energy enter the back part of this decade in a position of strength and we be excited about the future
DUK_2024Q4.txt,"['administration commitment', 'affordable energy', 'energy meet']",share the new administration 's commitment to ensure the availability of reliable and affordable energy to meet our country 's aspiration for technology leadership and economic growth
DUK_2024Q4.txt,['construction gigawatt'],in the carolinas we have start construction on over two gigawatt of natural gas generation that be approve last year
DUK_2024Q4.txt,['strengthen grid'],work with stakeholder across our jurisdiction we have tailor state specific multiyear investment plan that strengthen the grid and ensure our ability to connect new large load customer
DUK_2024Q4.txt,['legislation way'],could legislation in any way change your ability to execute differently on the resource plan you have put out there
DUK_2024Q4.txt,['legislation make'],so we do not anticipate change to our plan from the legislation but it will make the tone in south carolina strong for we and we support that and continue to work with our policymaker on that front
DUK_2024Q4.txt,['integrate resource'],we have integrate resource plan in place etcetera
DUK_2024Q4.txt,['strong nuclear'],and if i be to talk about nuclear in particular we have be we be a strong nuclear operator
DUK_2024Q4.txt,['engage state'],so we be deeply engage in the state level and the federal level and a lot of opportunity to support growth across the us
DUK_2024Q4.txt,['point electric'],but you will see one item i would point to in our electric walk up
GM_2024Q1.txt,['battery electric'],one journalist drive a silverado ev work truck and three compete battery electric truck on a 500 mile trip over the rocky mountains while tow trailer
GM_2024Q1.txt,"['efficient program', 'deliver affordable', 'affordable electric']",it be a profitable and capital efficient program that will deliver one of the most affordable electric vehicle around when it arrive in late 2025
GM_2024Q1.txt,['vehicle gain'],and as mary mention the vehicle be gain momentum
GM_2024Q1.txt,['clean energy'],"and because of our supply chain effort customer be well positioned to leverage the $ 7,500 clean energy consumer purchase tax credit"
GM_2024Q1.txt,['vehicle opportunity'],and then as we go forward as the new software go across multiple vehicle then that give we an opportunity to focus more on grow subscription and service
GM_2024Q1.txt,"['solution pursue', 'electrification strategy']",we be leverage both our global and sometimes local solution as we pursue our electrification strategy
GM_2024Q1.txt,"['new energy', 'energy vehicle']",currently new energy vehicle represent about 30 of gm 's total delivery in china from the first quarter and we aim to expand on that this year with a strong launch schedule for new vehicle
GM_2024Q1.txt,"['electric vehicle', 'vehicle electric']",start from the second quarter onward we will introduce several plug in hybrid electric vehicle and move towards full electric vehicle as well
GM_2024Q1.txt,"['electric vehicle', 'vehicle internal']",on one hand there be price cutting for electric vehicle but the internal combustion engine side appear to be hold up well
GM_2024Q1.txt,['charge infrastructure'],the charge infrastructure be improve every quarter and i feel good about our momentum
GM_2024Q1.txt,['electric vehicle'],"as for the growth in electric vehicle we anticipate a rise in supply throughout the year as we work towards produce between 200,000 to 300,000 unit as previously mention"
GM_2024Q1.txt,['vehicle design'],these vehicle be design to meet customer expectation in term of performance and functionality position we well
GM_2024Q1.txt,"['electric vehicle', 'engine electric']",furthermore our overall portfolio remain strong whether with internal combustion engine or electric vehicle
GM_2024Q1.txt,"['new energy', 'energy vehicle']",yes we have some strong new energy vehicle come in china this year
GM_2024Q1.txt,['electric vehicle'],we also have plug in hybrid electric vehicle entry in the buick gl8 and the equinox
GM_2024Q1.txt,['engine vehicle'],regard our internal combustion engine vehicle we have a lead with the gl8 and more upgrade be plan
GM_2024Q1.txt,"['new energy', 'energy vehicle']",additionally we have new energy vehicle launch in sgm
GM_2024Q1.txt,"['electric vehicle', 'new energy', 'energy vehicle']",this allow we to compete in the new energy vehicle market include plug in hybrid hybrid internal combustion engine vehicle and electric vehicle
NEE_2024Q1.txt,['solar energy'],in addition fpl place into service 1640 mw of new solar while energy resources add 2765 mw of new renewable and storage project to its backlog
NEE_2024Q1.txt,['solar good'],this quarter mark energy resources second good origination quarter ever as well as its good solar and good storage origination quarter
NEE_2024Q1.txt,['flat power'],after year of relatively flat u.s. power growth numerous report now highlight significant future low growth be drive across industry such as oil and gas manufacturing and technology
NEE_2024Q1.txt,"['believe renewable', 'storage key']",we believe renewable and storage be a key enabler to help meet this increase demand
NEE_2024Q1.txt,['believe renewable'],in fact we believe the u.s. renewable and storage market opportunity have the potential to be three time large over the next seven year compare to the last seven grow from roughly 140 gigawatt of addition to approximately 375 to 450 gigawatt
NEE_2024Q1.txt,"['fpl continue', 'continue solar', 'solar storage']",as fpl continue its solar and storage build out and energy resources bring new renewable and storage project online for customer the operate fleet could grow to over 100 gigawatt by the end of 2026
NEE_2024Q1.txt,['solar supply'],and the good news be that the solar supply chain have much improve from two year ago
NEE_2024Q1.txt,"['reliable generation', 'clean energy']",our experience allow we to navigate power demand challenge deliver cost effective reliable generation for our grow fpl customer base and design clean energy solution to help our energy resources customer
NEE_2024Q1.txt,['interconnect transmission'],we recognize the change landscape and secured land interconnect and transmission equipment year in advance
NEE_2024Q1.txt,['energy capture'],today nextera energy capture 560 billion operational datum point each day and have dozen of proprietary artificial intelligence tool to drive analytical real time decision making
NEE_2024Q1.txt,"['deliver clean', 'clean affordable', 'affordable energy']",at fpl as more people move into florida we be focus on extend the customer value proposition by keep our bill as low as possible and deliver clean affordable energy by invest in solar battery storage and transmission
NEE_2024Q1.txt,['solar battery'],at energy resources our business be focus on build low cost wind solar battery storage and transmission
NEE_2024Q1.txt,['clean energy'],for both power and commercial and industrial customer we leverage our 300 gigawatt development pipeline and transmission and market expertise to help design the low cost clean energy solution
NEE_2024Q1.txt,['electricity need'],when i consider current energy demand the long term electricity need and our competitive advantage i would not trade our opportunity set with anyone
NEE_2024Q1.txt,['performance fpl'],the principal driver of this performance be fpl 's regulatory capital employ growth of approximately 11.5 year over year
NEE_2024Q1.txt,['result fpl'],as a result fpl 's typical 1000 kilowatt hour residential customer bill be expect to be roughly $ 14 low in may than the start of the year and approximately 37 low than the current national average
NEE_2024Q1.txt,"['effective solar', 'utility solar']",this quarter fpl place into service 1640 mw of new cost effective solar put fpl 's own and operate solar portfolio at over 6400 mw which be the large utility own solar portfolio in the country
NEE_2024Q1.txt,"['solar storage', 'reliable grid']",fpl 's annual ten year site plan continue to indicate that solar and storage be the most cost effective answer for customer to add reliable grid capacity over the next decade
NEE_2024Q1.txt,"['clean affordable', 'affordable energy', 'customer clean']",with this plan we expect to increase fpl 's solar mix from approximately 6 of our total generation in 2023 to 38 in 2033 while continue to provide customer with clean affordable energy
NEE_2024Q1.txt,['grow solar'],fpl believe battery storage will play an increasingly valuable role for customer serve as an attractive capacity complement to our grow solar generation
NEE_2024Q1.txt,"['supply energy', 'energy time']",from provide system balancing need in critical part of fpl 's service territory to supply energy during any time of day or weather condition battery storage act as a key resource to the system that be both valuable and cost effective for customer
NEE_2024Q1.txt,"['clean energy', 'exist clean', 'unfavorable wind']",our exist clean energy portfolio decline $ 0.02 per share primarily due to unfavorable wind resource during the quarter
NEE_2024Q1.txt,['solar storage'],we recently plug 740 mw of new solar and storage project into service which be be use to support data center locate in arizona and new mexico
NEE_2024Q1.txt,"['clean energy', 'large battery', 'reliable clean']",both of these project be now among the large battery storage facility in their respective state and in combination with their co located solar each project enable the local utility to serve their customer need for new reliable clean energy to grow their own business operation
NEE_2024Q1.txt,['effective renewable'],we be see it manifest with our power customer in their state rfp process and bilateral discussion where we deliver cost effective renewable and storage to their grid
NEE_2024Q1.txt,['clean energy'],our technology customer have be a consistent driver of demand for many year reflect by our roughly 3 gigawatt operating portfolio and over 3 gigawatt project backlog as we partner with they to provide various clean energy solution base on their key business variable
NEE_2024Q1.txt,['overall renewable'],we continue to expect to remain on track for our overall renewable development expectation of roughly 33 to 42 gigawatt from 2023 through 2026
NEE_2024Q1.txt,"['clean energy', 'support california', 'energy goal']",we believe this project could unlock over 3 gigawatt of new renewable generation capacity support california 's ambitious clean energy goal
NEE_2024Q1.txt,['operate transmission'],we continue to believe our ability to build own and operate transmission be a key advantage for our renewable business
NEE_2024Q1.txt,['gigawatt wind'],in term of nextera energy partners growth plan as a reminder it involve organic growth specifically repowere approximately 1.3 gigawatt of wind project through 2026 as well as acquire asset at attractive yield
NEE_2024Q1.txt,"['mw wind', 'wind facility']",today we be announce plan to repower an additional approximately 100 mw of wind facility through 2026
NEE_2024Q1.txt,"['unfavorable wind', 'wind resource']",first quarter adjust ebitda contribution from exist project decline by approximately $ 37 million year over year drive primarily by unfavorable wind resource during the quarter and low generation at genesis solar project as a result of a plan outage for major maintenance
NEE_2024Q1.txt,['wind resource'],wind resource be approximately 97 of long term average versus 102 in the first quarter of 2023
NEE_2024Q1.txt,['talk renewable'],and there be obviously be a lot of talk about renewable and nuclear and i do want to i be a little more of a skeptic about nuke and let i explain why that be
NEE_2024Q1.txt,['focus renewable'],in our discussion with datum center developer and provider their first focus be renewable
NEE_2024Q1.txt,"['concern wind', 'blow sun']",and i hear a lot about the reliability concern and well what do you do when the wind do not blow and the sun do not shine and the four hour battery be do enough
NEE_2024Q1.txt,['clean energy'],we can also help work with they to design a clean energy solution where if they do have a grid by we can green it up with wreck from our green desk
NEE_2024Q1.txt,['water resource'],we have technology and tool which we showcase back in march where we can identify partner in the country that not only the good resource area but also the good fiber connectivity the good water resource
NEE_2024Q1.txt,['solar storage'],good strength in the addition this quarter and we continue to see a lot of strength in the solar and the storage piece of it
NEE_2024Q1.txt,['solar storage'],and in the ira the introduction of the production tax credit for solar which make solar more attractive than it be even before as well as a standalone itc for storage so that really spur demand for solar and storage
NEE_2024Q1.txt,['solar storage'],it be go to be solar and storage etcetera
NEE_2024Q1.txt,"['return wind', 'wind storage']",so mid teen for solar and above 20 lever return for wind and storage technology
NEE_2024Q1.txt,['drive renewable'],but i think it be safe to say at this point that we see strong driver for a long period of time decade into the future drive renewable penetration in electricity and electricity penetration into overall u.s. energy consumption which set up terrific dynamic for we to continue to compete and create opportunity to invest capital for our shareholder at very attractive return
NEE_2024Q1.txt,['wind storage'],so mid teen in solar and above 20 for both wind and storage
NEE_2024Q1.txt,['solar continue'],my expectation be that as time go on we would likely add more storage to our plan go forward because it be that attractive in the overall economic especially as we add solar which again continue to be the good proposition from a cost standpoint for our customer
NEE_2024Q2.txt,['performance fpl'],the continued strong financial and operational performance at both fpl and energy resources position our company well to meet its overall objective for the year
NEE_2024Q2.txt,['fpl continue'],at fpl we have continue to deliver for our customer on multiple front since the start of our most recent rate settlement in 2022
NEE_2024Q2.txt,"['generation retire', 'cost renewable', 'renewable battery']",with regard to the former we have long be a beneficiary of a replacement cycle where high cost less efficient generation have be retire in favor of low cost renewable and battery storage
NEE_2024Q2.txt,['transmission require'],our scale experience and technology couple with our ability to build new transmission where require enable we to meet the grow demand of our power and commercial and industrial customer base
NEE_2024Q2.txt,['renewable battery'],these result support our belief that the bulk of the growth demand will be meet by a combination of new renewable and battery storage
NEE_2024Q2.txt,['storage help'],the importance of renewable and storage to help meet our economy grow demand for power have never be more evident
NEE_2024Q2.txt,['american wind'],renewable and storage be energy independent as they rely on american wind and sunshine
NEE_2024Q2.txt,['clean energy'],as customer increasingly demand smart clean energy solution we be the company with experience in every part of the energy value chain and be uniquely position to help they make the right decision for their business
NEE_2024Q2.txt,"['importance natural', 'bridge fuel']",as the owner and operator of a large natural gas fire fleet in florida we be also conscious of the importance of natural gas fire generation as a bridge fuel
NEE_2024Q2.txt,['renewable help'],low cost fast to deploy renewable help keep power price down make our economy more competitive globally
NEE_2024Q2.txt,"['form energy', 'sector renewable', 'renewable particular']",ultimately our country need all form of energy as we move forward and the future have never be bright for the power generation sector as a whole and renewable in particular
NEE_2024Q2.txt,['energy build'],as i have be say nextera energy be build for this moment and our future outlook have never be strong
NEE_2024Q2.txt,"['transmission require', 'clean energy']",our strategic focus be to deliver low cost clean energy and storage for customer both inside and outside florida while build new transmission where require to support new generation
NEE_2024Q2.txt,['performance fpl'],the principal driver of this performance be fpl 's regulatory capital employ growth of approximately 10.7 year over year
NEE_2024Q2.txt,['result fpl'],as a result fpl grow retail sale in the second quarter by roughly 1.1 on a weather normalize basis
NEE_2024Q2.txt,"['clean energy', 'exist clean', 'wind resource']",our exist clean energy portfolio increase $ 0.06 per share primarily reflect an increase in wind resource during the quarter
NEE_2024Q2.txt,['wind resource'],wind resource for q2 of 2024 be approximately 104 of the long term average versus 88 in the second quarter of 2023
NEE_2024Q2.txt,['strength renewable'],similar to what we see this quarter the increase contribution from new investment drive by the strength of our renewable development program be expect to more than offset any slowing in gas infrastructure growth go forward
NEE_2024Q2.txt,['visibility energy'],"with these addition our backlog now total roughly 22.6 gigawatt after take into account more than 1,600 megawatt of new project place in service since our last earning call provide great visibility into energy resources ability to deliver on our development program expectation which we recently extend at our investor conference"
NEE_2024Q2.txt,['gigawatt renewable'],a great example be our collaboration with entergy where we be target to build 4.5 gigawatt of renewable storage solution to help they meet both their new increase load demand and energy transition goal
NEE_2024Q2.txt,['solar storage'],we can dramatically improve our speed to market by utilize the exist interconnection from our operating footprint to deploy co locate solar and storage as well as execute on wind and potentially solar repower
NEE_2024Q2.txt,"['wind resource', 'favorable wind', 'low solar']",second quarter adjust ebitda contribution from exist project grow by approximately $ 62 million year over year drive primarily by favorable wind resource during the quarter and partially offset by low solar generation
NEE_2024Q2.txt,['wind resource'],wind resource be approximately 103 of the long term average versus 88 in the second quarter of 2023
NEE_2024Q2.txt,['clean energy'],nextera energy partners own a large portfolio of high quality long term contract clean energy asset and the partnership have attractive organic growth from the repowering of its exist portfolio
NEE_2024Q2.txt,['investment fpl'],so this remember that the surplus mechanism be intend really just to deal with the regulatory lag as we make new investment at fpl to accommodate the additional growth
NEE_2024Q2.txt,['mix renewable'],yeah it be a 1.6 gigawatt portfolio just a mix of renewable asset
NEE_2024Q2.txt,['vineyard wind'],i know you be not do offshore wind but just this recent issue with the ge turbine at vineyard wind and i know there be a lawsuit file by aep
NEE_2024Q2.txt,['solar battery'],our core business be wind solar battery storage transmission both inside and outside of florida
NEE_2024Q2.txt,['addition renewable'],those certainly be two thing that we look at in addition to the renewable portfolio
NEE_2024Q2.txt,"['addition gigawatt', 'gigawatt add']",as you will see some of those strong addition of the 3 gigawatt that we add to our backlog particularly notably strong in year 26 and 27 and even some megawatt add to 28 and beyond
NEE_2024Q2.txt,['nuclear portfolio'],and you also have this nuclear portfolio
NEE_2024Q2.txt,['nuclear portfolio'],and how do we kind of think about the strategic positioning of your nuclear portfolio
NEE_2024Q2.txt,"['market clean', 'connect renewable']",so between the attractive price the speed to market the clean attribute of renewable and storage as well as the fact as we talk about last month in the queue across the united states today 90 of those megawatt that be look to be connect be renewable and storage and we have a healthy portion of those
NEE_2024Q2.txt,['thousand megawatt'],we be hear utility around the country now with fast grow pipeline thousand of megawatt of datum center request
NEE_2024Q2.txt,['hear power'],we certainly be hear from our power sector customer a lot of interest from various datum center customer whether the data center operator or the hyperscaler
NEE_2024Q2.txt,"['online megawatt', 'megawatt transmission']",it be go to take some time not only to rationalize that and figure out how you address it but also to procure and bring online the megawatt and the transmission over the long term that be go to be require to serve this demand if it end up be as strong as we see and think it might be
NEE_2024Q2.txt,['solar storage'],be you embed wind solar storage multiple technology in term of what product maybe make sense for these hyperscaler deal
NEE_2024Q2.txt,"['solar battery', 'demand wind']",but those specifically be new contract and they be to support data center demand wind solar and battery storage
NEE_2024Q2.txt,"['solar battery', 'technology wind']",more broadly speak from a hyperscalar perspective they be interested in a variety of technology wind solar and battery storage
NEE_2024Q2.txt,['clean energy'],the incentive favor republican state and we have see an increase in the number of republican lawmaker that be embrace the clean energy credit within the ira as they see the positive impact on their state and community which be hard to turn away from
NEE_2024Q2.txt,"['role renewable', 'renewable play']",let us not forget the important role that renewable play renewable create job they create a property tax base that transform rural community
NEE_2024Q2.txt,"['renewable energy', 'energy independence', 'electricity generate']",renewable be energy independence it be electricity generate from the sun and the wind it be not subject to fuel price volatility
NEE_2024Q2.txt,['cost renewable'],low cost renewable be also bring power bill down which attract new investment from datum center semiconductor chip manufacturer and other sector look to invest in the u.s. low power bill can dictate which state they select to make those investment in
NEE_2024Q2.txt,"['solar battery', 'place wind']",for all these reason we expect the credit to remain in place for wind for solar for battery storage
NEE_2024Q2.txt,['wind demand'],and do you think that be a potential sign of an inflection on the wind demand side
NEE_2024Q2.txt,['additional wind'],it be terrific that we be able to add some additional wind project to the backlog
NEE_2024Q2.txt,['solar battery'],it be early in the cycle to make that conclusion but we strongly believe that wind solar and battery storage as complementary technology and low cost and fast to deploy as john just highlight be immensely valuable to our customer
