doc,matched_bigrams,sentence,coder1_is_climate_1or0,coder2_is_climate_1or0
D_2020Q2,low emit; emit resource,we ’re invest billion of dollar in a transition that will make zero and low emit resource accountable for around 95 of our company wide electric generation by the end of 2035,,
CVX_2020Q2,leader renewable; develop renewable,early this month we sign an agreement with algonquin a leader in renewable power generation to co develop renewable power project that will support our operation,,
OXY_2022Q3,capture sequestration,to meet this demand and advance our own net zero ambition we plan to develop several hub along the u.s. gulf coast where we will have the option to develop direct air capture provide point source capture and sequestration for industrial emission or offer both solution,,
DUK_2019Q2,itc ptc,and what be your view on the probability that we be go to see some itc and ptc extension,,
GM_2013Q4,vehicle important,the emerge market will see more b- and c segment vehicle which be very important for those market,,
NEE_2014Q4,wind addition; additional wind,and i guess moray just on the wind addition and the warehousing of additional equipment to qualify for the ptc can you just walk through what you guy be do to key that up and then how we should think about the ability to sustain beyond what be contract additional wind growth for 2015 and 2016,,
DUK_2020Q4,clean energy; grid improvement; project clean,in indiana we will continue our critical grid improvement project and further our clean energy transition as we file our 2021 irp this november,,
NEE_2025Q4,renewable battery,this dedicated work stream to power datum center hub be expect to help we achieve our exist development expectation through a mix of new renewable battery storage and gas generation,,
DUK_2017Q1,nation infrastructure,the energy grid be a critical part of our nation 's infrastructure directly impact nearly every part of our economy,,
SO_2008Q3,dispatch gas,you have be dispatch your gas plant more just due to low gas price,,
GM_2021Q1,electric vehicle,great and then my second question on electric vehicle so your silverado electric vehicle be confirm officially in april i think you say it will be your first high volume ev towards several high volume model by 2023,,
OXY_2023Q4,commercially operational,in addition construction on stratos our first direct air capture facility be progress on schedule to be commercially operational in mid-2025,,
XOM_2025Q2,capture storage; storage power,our interest in low carbon datum center be about enable carbon capture and storage rather than power generation itself,,
D_2008Q2,approval pennsylvania,those two segment be still under regulatory review and the recommend approval in virginia for the meadowbrook line be conditional on approval in pennsylvania and west virginia which be expect soon,,
DUK_2014Q4,grow solar,this growth will help we continue to comply with the state 's grow solar requirement,,
SO_2011Q1,sea level,we be some 130 mile inland and be 220 foot above sea level,,
SO_2008Q3,regard renewable; renewable energy,have say that it be clear that the democratic lead congress particularly on the outside be pretty adamant about the desirability of try to pass a federal mandate with regard to renewable energy,,
SO_2024Q1,request power,we see the request for do you have power,,
D_2010Q3,power include; generation electric,these supplemental schedule show ebit for the legal entity virginia power which include utility generation electric transmission and distribution operation as well as quarterly ebit for our regulated gas business merchant generation and dominion retail,,
MMM_2019Q4,sustainability environmental,today i will also provide an update on our ongoing commitment to sustainability and environmental stewardship include pfas,,
DUK_2013Q4,eastern municipal; coal nuclear,first as we announce early this morning we have be in exclusive discussion with the north carolina eastern municipal power agency regard the potential to purchase their minority ownership interest in certain exist duke energy progress plant a total of 700 megawatt of coal and nuclear generation,,
OXY_2013Q1,greenhouse gas,the 2013 amount include california greenhouse gas expense of $ 0.05 per barrel,,
CVX_2026Q2,new energy,our chairman and ceo mike wirth cfo eimear bonner and president new energy jeff gustavson be on the call with i today,,
OXY_2025Q2,manage water; water resource,it be crucial to monitor these development and i believe we be well position to maintain our cost structure while effectively manage water resource in the future,,
CVX_2023Q4,plant lower,so we be see good deliverability out of the new well which be the key thing for production this year be keep those plant full while we begin to convert the field from push into a high pressure plant to lower back pressure on the field which improve deliverability from the well and allow we to extend,,
SO_2019Q1,future energy,a key to successfully build the future of energy be acquire and develop top talent,,
D_2016Q3,plan dominion,fourth the successful financing validate our strategic plan for dominion midstream partners which involve access capital market at advantageous term to fund the acquisition of midstream asset from dominion that will in turn support a 22 annual distribution growth rate,,
NEE_2021Q4,place energy,it be be really a testament to the entire lead team not only obviously the job jim 's do but the job eric 's do the job rebecca 's do and the leadership team that we have in place at energy resources,,
XOM_2024Q4,future hydrogen,we believe these incentive be critical to establish a fully market base future where hydrogen compete head to head with traditional fuel,,
NEE_2024Q4,renewable meet; cost renewable; renewable energy,this collaboration bring together the nation 's lead operator of natural gas fire generation and nextera energy and the world 's leader in natural gas and electrification technology and ge vernova to jointly develop opportunity that we believe will enable significantly more renewable to meet grow po,,
NEE_2015Q4,enable renewable; levelized cost,the certainty regard tax incentive will provide planning stability which we think in turn will serve as a bridge to further equipment cost decline and efficiency improvement that will enable renewable to compete on a levelized cost of energy basis with combine cycle technology when tax incentive be ,,
GM_2022Q3,traditional vehicle,beyond traditional vehicle sale our work with carbravo and growth in area like gm defense brightdrop and cruise present significant margin opportunity for the company,,
NEE_2019Q3,generation interconnection,it also create the opportunity or incentive for we to optimize our exist queue position and exist interconnection right to maximize all the generation that could be fill for those interconnection request,,
NEE_2018Q1,fpl continue,so thing at fpl continue to progress a bit well than expect because of the improvement that we have see in weather and in o&m.,,
KO_2025Q2,new energy,and so we think that will bring some new energy and dynamism and focus and proactivity to the execution in the marketplace,,
GM_2018Q4,autonomous vehicle,david we be firm in our plan for autonomous vehicle at cruise,,
D_2025Q1,request power,protection include a 14 year contract commitment to pay for their request power even if they use less than request,,
D_2008Q1,receive air,we expect to receive the air permit for this 150 megawatt unit during this quarter,,
D_2024Q1,clean energy,we continue to make the necessary investment to provide the reliable affordable and increasingly clean energy that power our customer every day and we be 100 focused on execution,,
DUK_2010Q1,integrate resource,and what we do in our testimony be we also do a brief summary integrate resource planning exercise which show that the plant continue to be a cost effective option for we in indiana even at the increase price,,
SO_2009Q1,renewable energy,there have be to your point also a discussion about take nuclear out of the total baseline when you calculate how much renewable energy under a 15 or 25 standard would actually have to be produce so that would lower the amount if you take nuclear out,,
GM_2019Q1,family vehicle,offset these be a number of tailwind include the full year benefit of our truck launch a meaningful benefit from cadillac xt4 cadillac xt6 and chevrolet blazer and the rollout of our global family of vehicle,,
NEE_2024Q2,form energy; sector renewable; renewable particular,ultimately our country need all form of energy as we move forward and the future have never be bright for the power generation sector as a whole and renewable in particular,,
NEE_2021Q4,solar storage; gigawatt renewable; market wind,through the sale of this 2.5 gigawatt renewable portfolio energy resources be able to recycle nearly $ 3.5 billion of capital include the tax equity proceed in an accretive manner and take advantage of the strong market for wind solar and storage asset,,
HON_2021Q4,transition renewable; renewable energy,battery energy storage system technology development be vital to the continue decarbonization of the global power system as it will enable the transition to renewable energy source,,
NEE_2017Q4,large rotor; rotor diameter,wind turbine technology continue to advance with tall tower and large rotor diameter as we be now instal turbine with a 127 meter rotor diameter,,
GM_2011Q2,obviously vehicle,when i think about the second half versus the first half obviously the vehicle pricing that we put in place along with the model year 12 increase which be just about 1 will drive some improve top line pricing again primarily to offset material and commodity headwind,,
SO_2016Q3,sustainable reliable,over the past five year we have have stable solid return among the operate company predictable sustainable reliable return as tom would say,,
DUK_2008Q3,exist energy,the agreement on the esp replace the exist energy efficiency program with the new save a watt model,,
DUK_2017Q1,modernize energy,but the investment will do more than modernize our energy grid,,
NEE_2023Q1,leader renewable; leader battery,as the world leader in renewable and a leader in battery storage we believe we be the logical partner for green hydrogen with significant interconnection and land inventory position and deep market expertise to help our potential partner optimize some of the good green hydrogen site around the count,,
NEE_2014Q3,respect solar; solar unit,now that capital still need to be productive from a customer viewpoint either increase reliability or as we just discuss with respect to the solar unit improve the long term cost effectiveness of the system but assume it be then from an investor perspective we can sort of afford to accommodate it wi,,
DUK_2022Q4,carbon free; generation solar,because with all that carbon free generation and all the solar we be go to have in this area we think that be something worth invest in really as part of maintain and preserve the natural gas infrastructure that have be so important to this region,,
HON_2021Q1,carbon neutral,importantly we announce a commitment early this month to become carbon neutral in our operation and facility by 2035,,
DUK_2021Q2,use solar,while it be not entirely your decision could we expect a quick coal retirement outlook less dependency on gas and perhaps increase use of solar,,
NEE_2021Q2,share renewable,meaning do you think your market share of renewable capacity in the us be actually grow from here,,
NEE_2015Q1,solar storage; mention wind,moray you have mention wind solar and storage,,
CVX_2011Q1,reflect dry,or do that reflect less dry hole charge or load overall expenditure,,
XOM_2021Q1,carbon economy,we maintain our strong dividend generate strong cash flow deliver further cost reduction remain flexible and disciplined in our capital spend deliver excellent safety environmental and reliability performance and advanced solution for a low carbon economy,,
DUK_2009Q2,heavily coal,we will continue to work very hard to ensure a fair allocation of allowance as provide to customer in region of the country that rely more heavily on coal,,
OXY_2023Q1,duty transportation,additionally the compliance market particularly related to heavy duty transportation and sustainable aviation fuel be take shape globally,,
SO_2009Q1,energy auction,finally another important event which occur just last week be the official start of the energy auction on april 23rd,,
GM_2022Q3,driver assistance; progress autonomous; autonomous vehicle,while we be expand the competitive advantage we have in advanced driver assistance system with super cruise the cruise team in san francisco continue to make rapid progress in autonomous vehicle,,
HON_2019Q4,activity renewable,but specifically lng come through some of the mega refining petrochemical complex be another place of growth and we ’re start to see a bit more activity in the renewable segment,,
HON_2025Q1,energy sustainability,for the second quarter segment margin be expect to be in the range of 22.8 to 23.2 down 20 basis point to up 20 basis point from the prior year as margin improvement in industrial automation and building automation be offset by contraction in aerospace and energy and sustainability solutions,,
SO_2013Q3,energy medical,"meanwhile recent announcement be add nearly 7,600 new job in our territory include among these be blue cross and blue shield of georgia corporate manufacturer shaw industries auto part manufacturer hyundai daimos vinyl tile manufacturer mannington mills wood pellet manufacturer green circle bio ener",,
